variant,reliability_source,epoch,step,case,patch_index,augmentation,pseudo_positive_voxels,pseudo_negative_voxels,positive_fraction,positive_weight_sum,positive_weight_mean,L_pos,negative_weight_sum,negative_weight_mean,L_neg,total_loss
A0_confidence_rank,confidence_rank,1,24,HEM_PA13.nii.gz,1,gamma:0.3,345692,6732196,0.048841122537851334,14172.2685546875,0.04099680855870247,0.007270749658346176,3524772.25,0.5235694646835327,7.681508577661589e-05,0.0036737823393195868
A0_confidence_rank,confidence_rank,1,25,HCC_10142924_20170911.nii.gz,0,gamma:0.3,11022,7066866,0.0015572442207485437,16.235227584838867,0.001472983742132783,0.02117273397743702,3538928.25,0.5007776021957397,5.926018639001995e-05,0.010615997016429901
A0_confidence_rank,confidence_rank,1,26,HCC_10142924_20170911.nii.gz,1,blur:1.5,179460,6898428,0.02535502053797245,11688.35546875,0.06513070315122604,0.03276539221405983,3527256.0,0.5113130211830139,0.0004290189826861024,0.01659720577299595
A0_confidence_rank,confidence_rank,1,27,MET_PA25.nii.gz,0,blur:1.5,0,7077888,0.0,0.0,0.0,0.0,3538944.5,0.5000000596046448,0.0,0.0
A0_confidence_rank,confidence_rank,1,28,MET_PA25.nii.gz,1,gamma:0.3,195115,6882773,0.02756683900952339,6746.33984375,0.03457622602581978,0.0029867705889046192,3532198.25,0.5131940245628357,1.361867725790944e-05,0.0015001946594566107
A0_confidence_rank,confidence_rank,1,29,HCC_10147777_20171222.nii.gz,0,gamma:0.3,48112,7029776,0.006797507870942354,337.4471435546875,0.007013783324509859,0.04877495393157005,3538607.0,0.5033740997314453,6.855636911495822e-07,0.024387819692492485
A0_confidence_rank,confidence_rank,1,30,HCC_10147777_20171222.nii.gz,1,blur:1.5,228868,6849020,0.032335635274648666,8984.70703125,0.03925715759396553,0.3630451261997223,3529960.0,0.5153963565826416,0.0025314386002719402,0.18278828263282776
A0_confidence_rank,confidence_rank,1,31,HCC_PA0.nii.gz,0,blur:1.5,0,7077888,0.0,0.0,0.0,0.0,3538944.5,0.5000000596046448,0.0,0.0
A0_confidence_rank,confidence_rank,1,32,HCC_PA0.nii.gz,1,gamma:0.3,1135813,5942075,0.16047343611717224,188333.0,0.1658133864402771,0.004637356381863356,3350611.5,0.5638790130615234,0.0003383023722562939,0.0024878294207155704
A0_confidence_rank,confidence_rank,1,33,CYST_PA37.nii.gz,0,gamma:0.3,0,7077888,0.0,0.0,0.0,0.0,3538944.5,0.5000000596046448,0.0,0.0
A0_confidence_rank,confidence_rank,1,34,CYST_PA37.nii.gz,1,blur:1.5,202150,6875738,0.028560779988765717,6514.08544921875,0.03222401812672615,0.09812929481267929,3532430.5,0.5137529373168945,0.00023036357015371323,0.04917982965707779
A0_confidence_rank,confidence_rank,1,35,ICC_PA18.nii.gz,0,blur:1.5,0,7077888,0.0,0.0,0.0,0.0,3538944.5,0.5000000596046448,0.0,0.0
A0_confidence_rank,confidence_rank,1,36,ICC_PA18.nii.gz,1,gamma:0.3,831496,6246392,0.11747798323631287,121992.3671875,0.14671431481838226,0.004708414897322655,3416952.0,0.5470280647277832,0.00018687626288738102,0.0024476456455886364
A0_confidence_rank,confidence_rank,1,37,HCC_10081574_20140213.nii.gz,0,gamma:0.3,0,7077888,0.0,0.0,0.0,0.0,3538944.5,0.5000000596046448,0.0,0.0
A0_confidence_rank,confidence_rank,1,38,HCC_10081574_20140213.nii.gz,1,blur:1.5,217923,6859965,0.030789269134402275,10461.2939453125,0.04800454527139664,0.012393694370985031,3528483.25,0.5143588185310364,0.0009702483657747507,0.006681971251964569
A0_confidence_rank,confidence_rank,1,39,MET_PA19.nii.gz,0,blur:1.5,0,7077888,0.0,0.0,0.0,0.0,3538944.5,0.5000000596046448,0.0,0.0
A0_confidence_rank,confidence_rank,1,40,MET_PA19.nii.gz,1,gamma:0.3,183634,6894254,0.025944745168089867,4219.3125,0.022976748645305634,0.011361583136022091,3534725.25,0.5127059817314148,1.2582661838678177e-05,0.00568708311766386
A0_confidence_rank,confidence_rank,1,41,HEM_PA24.nii.gz,0,gamma:0.3,0,7077888,0.0,0.0,0.0,0.0,3538944.5,0.5000000596046448,0.0,0.0
A0_confidence_rank,confidence_rank,1,42,HEM_PA24.nii.gz,1,blur:1.5,241542,6836346,0.03412628173828125,6929.01220703125,0.02868657372891903,0.05162074789404869,3532015.5,0.516652524471283,0.0007351309177465737,0.026177939027547836
A0_confidence_rank,confidence_rank,1,43,CYST_PA74.nii.gz,0,blur:1.5,0,7077888,0.0,0.0,0.0,0.0,3538944.5,0.5000000596046448,0.0,0.0
A0_confidence_rank,confidence_rank,1,44,CYST_PA74.nii.gz,1,gamma:0.3,258931,6818957,0.03658308833837509,11661.591796875,0.04503745213150978,0.0019224893767386675,3527283.0,0.5172760486602783,1.6232324924203567e-05,0.0009693608735688031
A0_confidence_rank,confidence_rank,1,45,HEM_PA34.nii.gz,0,gamma:0.3,0,7077888,0.0,0.0,0.0,0.0,3538944.5,0.5000000596046448,0.0,0.0
A0_confidence_rank,confidence_rank,1,46,HEM_PA34.nii.gz,1,blur:1.5,293538,6784350,0.04147254303097725,14137.564453125,0.048162635415792465,0.00885755568742752,3524807.0,0.5195496678352356,0.00038377271266654134,0.004620664287358522
A0_confidence_rank,confidence_rank,1,47,FNH_PA32.nii.gz,0,blur:1.5,82806,6995082,0.011699252761900425,931.338134765625,0.01124723069369793,0.10008838772773743,3538013.0,0.5057857632637024,8.075945515884086e-06,0.050048232078552246
A0_confidence_rank,confidence_rank,1,48,FNH_PA32.nii.gz,1,gamma:0.3,284258,6793630,0.04016141593456268,9376.482421875,0.03298581764101982,0.004058001562952995,3529568.0,0.5195407867431641,4.136554252909264e-06,0.002031069016084075
A0_confidence_rank,confidence_rank,1,49,FNH_PA10.nii.gz,0,gamma:0.3,0,7077888,0.0,0.0,0.0,0.0,3538944.5,0.5000000596046448,0.0,0.0
A0_confidence_rank,confidence_rank,1,50,FNH_PA10.nii.gz,1,blur:1.5,863052,6214836,0.1219363734126091,110851.6875,0.12844149768352509,0.003898399416357279,3428093.0,0.551598310470581,0.0010093707824125886,0.002453885041177273
A0_confidence_rank,confidence_rank,1,51,CYST_PA54.nii.gz,0,blur:1.5,84090,6993798,0.011880663223564625,1204.2921142578125,0.014321466907858849,0.05195856839418411,3537740.25,0.5058396458625793,1.1594024726946373e-05,0.025985080748796463
A0_confidence_rank,confidence_rank,1,52,CYST_PA54.nii.gz,1,gamma:0.3,231321,6846567,0.032682206481695175,7036.67822265625,0.030419539660215378,0.0036305130925029516,3531907.5,0.5158654451370239,7.45602437746129e-06,0.0018189845141023397
