variant,reliability_source,epoch,step,step_in_epoch,case,patch_index,patch_kind,augmentation,loss,gradient_norm,update_delta_norm,learning_rate,weight_decay,test_labels_used_in_loss,pseudo_positive_voxels_value,pseudo_negative_voxels_value,positive_fraction_value,positive_weight_sum_value,positive_weight_mean_value,L_pos_value,negative_weight_sum_value,negative_weight_mean_value,L_neg_value,total_loss_value
A0_confidence_rank,confidence_rank,1,1,1,HEM_PA99.nii.gz,0,context,gamma:0.3,0.0,1.4895166492299885e-15,1.489516669728186e-11,0.0001,0.0,False,0,7077888,0.0,0.0,0.0,0.0,3538944.5,0.5000000596046448,0.0,0.0
A0_confidence_rank,confidence_rank,1,2,2,HEM_PA99.nii.gz,1,foreground,blur:1.5,0.024555297568440437,0.030285829678177834,0.028147244825959206,0.0001,0.0,False,396016,6681872,0.055951155722141266,19013.6796875,0.04801240190863609,0.04881446808576584,3519931.0,0.5267881751060486,0.0002961257705464959,0.024555297568440437
A0_confidence_rank,confidence_rank,1,3,3,HCC_10140276_20170721.nii.gz,0,context,blur:1.5,0.12601123750209808,0.24537035822868347,0.034599266946315765,0.0001,0.0,False,31095,7046793,0.0043932595290243626,163.19268798828125,0.005248196888715029,0.2519797086715698,3538781.25,0.5021832585334778,4.2756109905894846e-05,0.12601123750209808
A0_confidence_rank,confidence_rank,1,4,4,HCC_10140276_20170721.nii.gz,1,foreground,gamma:0.3,0.01271862629801035,0.037933047860860825,0.032519105821847916,0.0001,0.0,False,182908,6894980,0.025842173025012016,6179.546875,0.03378500044345856,0.025414008647203445,3532765.0,0.5123677253723145,2.3243384930538014e-05,0.01271862629801035
A0_confidence_rank,confidence_rank,1,5,5,HEM_PA97.nii.gz,0,context,gamma:0.3,11.521600723266602,117.6053237915039,0.02963458001613617,0.0001,0.0,False,29498,7048390,0.004167627543210983,102.88675689697266,0.0034879231825470924,23.043201446533203,3538841.75,0.5020779967308044,1.2107720558624484e-17,11.521600723266602
A0_confidence_rank,confidence_rank,1,6,6,HEM_PA97.nii.gz,1,foreground,blur:1.5,0.3515205979347229,0.8569554090499878,0.026083750650286674,0.0001,0.0,False,279722,6798166,0.03952054679393768,8251.091796875,0.029497472569346428,0.7028982043266296,3530693.5,0.5193597078323364,0.00014300744805950671,0.3515205979347229
A0_confidence_rank,confidence_rank,1,7,7,CYST_PA69.nii.gz,0,context,blur:1.5,0.0,4.483336919487539e-16,0.022779015824198723,0.0001,0.0,False,0,7077888,0.0,0.0,0.0,0.0,3538944.5,0.5000000596046448,0.0,0.0
A0_confidence_rank,confidence_rank,1,8,8,CYST_PA69.nii.gz,1,foreground,gamma:0.3,0.00958331860601902,0.024756817147135735,0.02011239342391491,0.0001,0.0,False,435849,6642039,0.061578962951898575,21243.61328125,0.04874076321721077,0.018899617716670036,3517701.0,0.5296115875244141,0.00026701882597990334,0.00958331860601902
A0_confidence_rank,confidence_rank,1,9,9,HCC_10076307_20130925.nii.gz,0,context,gamma:0.3,0.07518699020147324,0.6602384448051453,0.018247008323669434,0.0001,0.0,False,14673,7063215,0.0020730760879814625,24.969104766845703,0.001701704110018909,0.1503678411245346,3538920.0,0.5010352730751038,6.145308361737989e-06,0.07518699020147324
A0_confidence_rank,confidence_rank,1,10,10,HCC_10076307_20130925.nii.gz,1,foreground,blur:1.5,0.09221421182155609,0.2931177318096161,0.01655704341828823,0.0001,0.0,False,230690,6847198,0.03259305655956268,7284.2744140625,0.03157602995634079,0.18302971124649048,3531660.0,0.5157817602157593,0.0013987062266096473,0.09221421182155609
A0_confidence_rank,confidence_rank,1,11,11,CYST_PA20.nii.gz,0,context,blur:1.5,0.19701863825321198,0.6330782175064087,0.01509069837629795,0.0001,0.0,False,7532,7070356,0.001064159208908677,8.132865905761719,0.0010797750437632203,0.3928429186344147,3538935.75,0.5005314946174622,0.0011943597346544266,0.19701863825321198
A0_confidence_rank,confidence_rank,1,12,12,CYST_PA20.nii.gz,1,foreground,gamma:0.3,0.0011719688773155212,0.0042556836269795895,0.013574371114373207,0.0001,0.0,False,230686,6847202,0.03259249031543732,10475.728515625,0.04541120305657387,0.0023200404830276966,3528468.75,0.5153154134750366,2.3897349819890223e-05,0.0011719688773155212
A0_confidence_rank,confidence_rank,1,13,13,CYST_PA56.nii.gz,0,context,gamma:0.3,0.0,1.9824436877061456e-16,0.012237310409545898,0.0001,0.0,False,0,7077888,0.0,0.0,0.0,0.0,3538944.5,0.5000000596046448,0.0,0.0
A0_confidence_rank,confidence_rank,1,14,14,CYST_PA56.nii.gz,1,foreground,blur:1.5,0.02114342339336872,0.06558214128017426,0.011178391054272652,0.0001,0.0,False,259412,6818476,0.036651045083999634,12435.20703125,0.047936130315065384,0.04122905060648918,3526509.25,0.5171990394592285,0.0010577957145869732,0.02114342339336872
