variant,order,step,scope,case_count,mean_dice,std_dice,mean_foreground_iou,std_foreground_iou,mean_precision,mean_recall,mean_iou,mean_foreground_dice,delta_mean_dice_vs_A_init,delta_mean_iou_vs_A_init,source_pseudo_dice_macro,fused_pseudo_dice_macro,delta_pseudo_dice_macro,background_to_foreground_voxels_mean,foreground_to_background_voxels_mean,uncertainty_gate_mean
A_init_no_adaptation,full_window_case_balanced,0,full_volume,8,0.6520916101761964,0.13238929747043005,0.4978613482812652,0.14371277241249905,0.8000337016988557,0.5725646154433671,0.4978613482812652,0.6520916101761964,0.0,0.0,,,,,,
B_source_hard_pseudo,full_window_case_balanced,150,full_volume,8,0.7102639691896296,0.07597960453365589,0.5559281525056283,0.08875690444830846,0.6781943303643482,0.7573755744387348,0.5559281525056283,0.7102639691896296,0.058172359013433206,0.05806680422436311,0.8785115970807075,0.8785115970807075,0.0,0.0,0.0,0.0
C_uncertainty_weighted_soft_pseudo,full_window_case_balanced,150,full_volume,8,0.6450488011916828,0.13598221325373402,0.4906055432258988,0.1452732076216933,0.791003439183394,0.5637148368866709,0.4906055432258988,0.6450488011916828,-0.007042808984513593,-0.007255805055366438,0.8785115970807075,0.8787989480330739,0.00028735095236628687,2884.2,15493.966666666667,0.006857763760020339
