case,method,scope,requested_coverage,eligible_voxels,retained_voxels,retained_correct,retained_error,retained_tp,retained_fp,retained_tn,retained_fn,total_tp,total_tn,total_fp,total_fn,actual_coverage,pseudo_label_accuracy,precision,recall,positive_dice,fn_rejection_rate,fn_retention_rate
__global__,joint_average,predicted_negative,0.6,111324424,66794657,66776669,17988,0,0,66776669,17988,1571567,110395775,350217,928649,0.6000000233551623,0.9997306970226676,,,,0.9806299258385031,0.01937007416149697
__global__,joint_average,predicted_positive,1.0,1921784,1921784,1571567,350217,1571567,350217,0,0,1571567,110395775,350217,928649,1.0,0.8177646395224437,0.8177646395224437,1.0,0.7107946630483943,,
__global__,joint_average,predicted_positive,0.95,1921784,1825695,1512712,312983,1512712,312983,0,0,1571567,110395775,350217,928649,0.9500001040699684,0.8285677509112968,0.8285677509112968,0.9625501171760414,0.709019052011504,,
__global__,joint_average,predicted_positive,0.9,1921784,1729605,1446866,282739,1446866,282739,0,0,1571567,110395775,350217,928649,0.899999687790095,0.8365297278858468,0.8365297278858468,0.920651808036183,0.7049080173052189,,
__global__,joint_average,predicted_positive,0.8,1921784,1537428,1302707,234721,1302707,234721,0,0,1571567,110395775,350217,928649,0.8000004162798733,0.8473287854780842,0.8473287854780842,0.828922343113593,0.6913142276129383,,
__global__,joint_average,predicted_positive,0.7,1921784,1345248,1148080,197168,1148080,197168,0,0,1571567,110395775,350217,928649,0.6999995837201267,0.8534337163110445,0.8534337163110445,0.7305320104074469,0.6710039255085584,,
__global__,joint_average,predicted_positive,0.6,1921784,1153071,988521,164550,988521,164550,0,0,1571567,110395775,350217,928649,0.600000312209905,0.8572941301966661,0.8572941301966661,0.6290034086997246,0.6439370720409244,,
__global__,joint_min,global,1.0,113246208,113246208,111967342,1278866,1571567,350217,110395775,928649,1571567,110395775,350217,928649,1.0,0.9887072068673594,,,,,
__global__,joint_min,global,0.95,113246208,107583904,107239178,344726,315918,19200,106923260,325526,1571567,110395775,350217,928649,0.9500000565140335,0.9967957474382041,,,,,
__global__,joint_min,global,0.9,113246208,101921584,101873066,48518,20101,135,101852965,48383,1571567,110395775,350217,928649,0.8999999717429832,0.9995239673669122,,,,,
__global__,joint_min,global,0.8,113246208,90596960,90578684,18276,3696,0,90574988,18276,1571567,110395775,350217,928649,0.7999999434859665,0.9997982713768763,,,,,
__global__,joint_min,global,0.7,113246208,79272352,79258541,13811,1104,0,79257437,13811,1571567,110395775,350217,928649,0.7000000565140335,0.9998257778449667,,,,,
__global__,joint_min,global,0.6,113246208,67947728,67936892,10836,286,0,67936606,10836,1571567,110395775,350217,928649,0.6000000282570168,0.9998405244690448,,,,,
__global__,joint_min,predicted_negative,1.0,111324424,111324424,110395775,928649,0,0,110395775,928649,1571567,110395775,350217,928649,1.0,0.9916581737714628,,,,0.0,1.0
__global__,joint_min,predicted_negative,0.95,111324424,105758205,105662143,96062,0,0,105662143,96062,1571567,110395775,350217,928649,0.9500000197620605,0.9990916827682542,,,,0.896557256832237,0.10344274316776306
__global__,joint_min,predicted_negative,0.9,111324424,100191981,100162855,29126,0,0,100162855,29126,1571567,110395775,350217,928649,0.8999999946103472,0.9997092980924291,,,,0.9686361585486013,0.031363841451398755
__global__,joint_min,predicted_negative,0.8,111324424,89059536,89042844,16692,0,0,89042844,16692,1571567,110395775,350217,928649,0.7999999712551847,0.9998125748151214,,,,0.9820255015619465,0.01797449843805356
__global__,joint_min,predicted_negative,0.7,111324424,77927099,77913646,13453,0,0,77913646,13453,1571567,110395775,350217,928649,0.7000000197620605,0.9998273642908226,,,,0.9855133640374351,0.014486635962564973
__global__,joint_min,predicted_negative,0.6,111324424,66794657,66783967,10690,0,0,66783967,10690,1571567,110395775,350217,928649,0.6000000233551623,0.9998399572588568,,,,0.9884886539478317,0.011511346052168258
__global__,joint_min,predicted_positive,1.0,1921784,1921784,1571567,350217,1571567,350217,0,0,1571567,110395775,350217,928649,1.0,0.8177646395224437,0.8177646395224437,1.0,0.7107946630483943,,
__global__,joint_min,predicted_positive,0.95,1921784,1825695,1509015,316680,1509015,316680,0,0,1571567,110395775,350217,928649,0.9500001040699684,0.8265427686442697,0.8265427686442697,0.9601976880400263,0.7078995693301925,,
__global__,joint_min,predicted_positive,0.9,1921784,1729605,1441641,287964,1441641,287964,0,0,1571567,110395775,350217,928649,0.899999687790095,0.8335088069241243,0.8335088069241243,0.917327100912656,0.7032575224487456,,
__global__,joint_min,predicted_positive,0.8,1921784,1537428,1300274,237154,1300274,237154,0,0,1571567,110395775,350217,928649,0.8000004162798733,0.8457462723457618,0.8457462723457618,0.8273742067630587,0.6904688384061921,,
__global__,joint_min,predicted_positive,0.7,1921784,1345248,1151069,194179,1151069,194179,0,0,1571567,110395775,350217,928649,0.6999995837201267,0.855655611456029,0.855655611456029,0.7324339337743794,0.6721637528664518,,
__global__,joint_min,predicted_positive,0.6,1921784,1153071,994284,158787,994284,158787,0,0,1571567,110395775,350217,928649,0.600000312209905,0.8622920878246005,0.8622920878246005,0.6326704493031478,0.6464777028898532,,
__global__,joint_product,global,1.0,113246208,113246208,111967342,1278866,1571567,350217,110395775,928649,1571567,110395775,350217,928649,1.0,0.9887072068673594,,,,,
__global__,joint_product,global,0.95,113246208,107583904,107239729,344175,262810,18945,106976919,325230,1571567,110395775,350217,928649,0.9500000565140335,0.9968008690221912,,,,,
__global__,joint_product,global,0.9,113246208,101921584,101836662,84922,20431,9658,101816231,75264,1571567,110395775,350217,928649,0.8999999717429832,0.9991667908143971,,,,,
__global__,joint_product,global,0.8,113246208,90596960,90574903,22057,6879,173,90568024,21884,1571567,110395775,350217,928649,0.7999999434859665,0.999756537084688,,,,,
__global__,joint_product,global,0.7,113246208,79272352,79257241,15111,2577,0,79254664,15111,1571567,110395775,350217,928649,0.7000000565140335,0.9998093786847652,,,,,
__global__,joint_product,global,0.6,113246208,67947728,67936307,11421,1296,0,67935011,11421,1571567,110395775,350217,928649,0.6000000282570168,0.9998319149096494,,,,,
__global__,joint_product,predicted_negative,1.0,111324424,111324424,110395775,928649,0,0,110395775,928649,1571567,110395775,350217,928649,1.0,0.9916581737714628,,,,0.0,1.0
__global__,joint_product,predicted_negative,0.95,111324424,105758205,105642482,115723,0,0,105642482,115723,1571567,110395775,350217,928649,0.9500000197620605,0.9989057775706386,,,,0.8753856408610788,0.12461435913892116
__global__,joint_product,predicted_negative,0.9,111324424,100191981,100148140,43841,0,0,100148140,43841,1571567,110395775,350217,928649,0.8999999946103472,0.9995624300511635,,,,0.9527905591886708,0.04720944081132915
__global__,joint_product,predicted_negative,0.8,111324424,89059536,89040345,19191,0,0,89040345,19191,1571567,110395775,350217,928649,0.7999999712551847,0.9997845149339202,,,,0.9793344955952141,0.020665504404785876
__global__,joint_product,predicted_negative,0.7,111324424,77927099,77912664,14435,0,0,77912664,14435,1571567,110395775,350217,928649,0.7000000197620605,0.9998147627694957,,,,0.9844559139136531,0.01554408608634694
__global__,joint_product,predicted_negative,0.6,111324424,66794657,66783479,11178,0,0,66783479,11178,1571567,110395775,350217,928649,0.6000000233551623,0.9998326512852668,,,,0.9879631593853005,0.012036840614699418
__global__,joint_product,predicted_positive,1.0,1921784,1921784,1571567,350217,1571567,350217,0,0,1571567,110395775,350217,928649,1.0,0.8177646395224437,0.8177646395224437,1.0,0.7107946630483943,,
__global__,joint_product,predicted_positive,0.95,1921784,1825695,1512022,313673,1512022,313673,0,0,1571567,110395775,350217,928649,0.9500001040699684,0.8281898126466907,0.8281898126466907,0.9621110649434609,0.7088102614731132,,
__global__,joint_product,predicted_positive,0.9,1921784,1729605,1446515,283090,1446515,283090,0,0,1571567,110395775,350217,928649,0.899999687790095,0.836326791377222,0.836326791377222,0.9204284640743919,0.7047972736102811,,
__global__,joint_product,predicted_positive,0.8,1921784,1537428,1304794,232634,1304794,232634,0,0,1571567,110395775,350217,928649,0.8000004162798733,0.8486862474210174,0.8486862474210174,0.8302503170402534,0.6920385237256856,,
__global__,joint_product,predicted_positive,0.7,1921784,1345248,1152175,193073,1152175,193073,0,0,1571567,110395775,350217,928649,0.6999995837201267,0.8564777646946883,0.8564777646946883,0.7331376899616752,0.6725924031952627,,
__global__,joint_product,predicted_positive,0.6,1921784,1153071,992875,160196,992875,160196,0,0,1571567,110395775,350217,928649,0.600000312209905,0.8610701335824074,0.8610701335824074,0.6317738919180665,0.6458574218718238,,
__global__,world_only,global,1.0,113246208,113246208,111967342,1278866,1571567,350217,110395775,928649,1571567,110395775,350217,928649,1.0,0.9887072068673594,,,,,
__global__,world_only,global,0.95,113246208,107583904,107081087,502817,363392,67411,106717695,435406,1571567,110395775,350217,928649,0.9500000565140335,0.9953262804071509,,,,,
__global__,world_only,global,0.9,113246208,101921584,101646350,275234,107123,38779,101539227,236455,1571567,110395775,350217,928649,0.8999999717429832,0.9972995513884478,,,,,
__global__,world_only,global,0.8,113246208,90596960,90416521,180439,58904,21935,90357617,158504,1571567,110395775,350217,928649,0.7999999434859665,0.9980083327299283,,,,,
__global__,world_only,global,0.7,113246208,79272352,79143569,128783,33958,12318,79109611,116465,1571567,110395775,350217,928649,0.7000000565140335,0.9983754361167434,,,,,
__global__,world_only,global,0.6,113246208,67947728,67853219,94509,20000,11760,67833219,82749,1571567,110395775,350217,928649,0.6000000282570168,0.9986090925659795,,,,,
__global__,world_only,predicted_negative,1.0,111324424,111324424,110395775,928649,0,0,110395775,928649,1571567,110395775,350217,928649,1.0,0.9916581737714628,,,,0.0,1.0
__global__,world_only,predicted_negative,0.95,111324424,105758205,105473793,284412,0,0,105473793,284412,1571567,110395775,350217,928649,0.9500000197620605,0.9973107334792606,,,,0.6937357386913677,0.3062642613086322
