variant,order,case,patches,tp,fp,tn,fn,dice,precision,recall,delta_dice_vs_A_init,delta_precision_vs_A_init,delta_recall_vs_A_init
A_init_no_adaptation,forward,__global__,8,969212,219982,54856863,577047,0.708629978288788,0.8150158847084664,0.6268109029599828,,,
A0_confidence_rank,forward,__global__,8,914588,193642,54883203,631671,0.6890878056002493,0.8252691228355125,0.5914843502931915,-0.01954217268853875,0.010253238127046038,-0.0353265526667913
A0_confidence_rank,reverse,__global__,8,753183,153144,54923701,793076,0.614194976241404,0.8310278740454604,0.48710015592471895,,,
A1_world,forward,__global__,8,597715,157643,54919202,948544,0.5193870222543542,0.7913002841036966,0.3865555511722163,-0.18924295603443386,-0.02371560060476985,-0.24025535178776647
A1_world,reverse,__global__,8,797722,153696,54923149,748537,0.6387711461490017,0.838455862722799,0.5159045153496277,,,
A2_joint_product,forward,__global__,8,700638,160814,54916031,845621,0.5819950982489177,0.8133221584023254,0.45311813868181205,-0.12663488003987033,-0.0016937263061410635,-0.1736927642781707
A2_joint_product,reverse,__global__,8,670981,125225,54951620,875278,0.572884546834211,0.8427228631786247,0.43393829882315965,,,
