case,global,patch_index,patch_kind,uncertainty_variant,ensemble_members,both_empty,tp_voxels,tn_voxels,fp_voxels,fn_voxels,original_dice,mean_probability_TP_sum,mean_probability_TP_count,mean_probability_TN_sum,mean_probability_TN_count,mean_probability_FP_sum,mean_probability_FP_count,mean_probability_FN_sum,mean_probability_FN_count,variance_TP_sum,variance_TP_count,variance_TN_sum,variance_TN_count,variance_FP_sum,variance_FP_count,variance_FN_sum,variance_FN_count,std_TP_sum,std_TP_count,std_TN_sum,std_TN_count,std_FP_sum,std_FP_count,std_FN_sum,std_FN_count,pairwise_abs_TP_sum,pairwise_abs_TP_count,pairwise_abs_TN_sum,pairwise_abs_TN_count,pairwise_abs_FP_sum,pairwise_abs_FP_count,pairwise_abs_FN_sum,pairwise_abs_FN_count
CYST_PA62.nii.gz,all,3,context_fill,visual_language,original+gamma_0.30+blur_1.5+language,1,0,7077888,0,0,0.0,0.0,0,1.2251618954906007e-06,7077888,0.0,0,0.0,0,0.0,0,4.566286686440127e-19,7077888,0.0,0,0.0,0,0.0,0,3.527082412801974e-07,7077888,0.0,0,0.0,0,0.0,0,4.868152245762758e-07,7077888,0.0,0,0.0,0
HEM_PA29.nii.gz,all,0,context,visual_only,original+gamma_0.30+blur_1.5,1,0,7077888,0,0,0.0,0.0,0,4.136192728765309e-06,7077888,0.0,0,0.0,0,0.0,0,2.6968678698907218e-17,7077888,0.0,0,0.0,0,0.0,0,9.783211680769455e-07,7077888,0.0,0,0.0,0,0.0,0,1.476502120567602e-06,7077888,0.0,0,0.0,0
HEM_PA29.nii.gz,all,0,context,language_only,original+language,1,0,7077888,0,0,0.0,0.0,0,2.805100393743487e-06,7077888,0.0,0,0.0,0,0.0,0,3.752689475559532e-17,7077888,0.0,0,0.0,0,0.0,0,6.715320637340483e-07,7077888,0.0,0,0.0,0,0.0,0,1.3430641274680966e-06,7077888,0.0,0,0.0,0
HEM_PA29.nii.gz,all,0,context,visual_language,original+gamma_0.30+blur_1.5+language,1,0,7077888,0,0,0.0,0.0,0,3.640241175162373e-06,7077888,0.0,0,0.0,0,0.0,0,4.929748296632279e-17,7077888,0.0,0,0.0,0,0.0,0,1.3053859220235609e-06,7077888,0.0,0,0.0,0,0.0,0,1.7377424228470773e-06,7077888,0.0,0,0.0,0
HEM_PA29.nii.gz,all,1,context,visual_only,original+gamma_0.30+blur_1.5,0,0,7077768,0,120,0.0,0.0,0,3.02606686375384e-08,7077768,0.0,0,3.5520379505120106e-22,120,0.0,0,4.938738796694321e-22,7077768,0.0,0,0.0,120,0.0,0,8.44006464717495e-09,7077768,0.0,0,0.0,120,0.0,0,1.2918238034842489e-08,7077768,0.0,0,6.622500678411347e-22,120
HEM_PA29.nii.gz,all,1,context,language_only,original+language,0,0,7077768,0,120,0.0,0.0,0,2.1198431454649835e-08,7077768,0.0,0,3.510564187954304e-23,120,0.0,0,4.395823895793323e-23,7077768,0.0,0,0.0,120,0.0,0,1.6877856889863097e-09,7077768,0.0,0,0.0,120,0.0,0,3.3755713779726193e-09,7077768,0.0,0,2.695316200998011e-23,120
HEM_PA29.nii.gz,all,1,context,visual_language,original+gamma_0.30+blur_1.5+language,0,0,7077768,0,120,0.0,0.0,0,2.7741879904397138e-08,7077768,0.0,0,2.785483759771242e-22,120,0.0,0,5.723655649824718e-22,7077768,0.0,0,0.0,120,0.0,0,8.634472692392592e-09,7077768,0.0,0,0.0,120,0.0,0,1.1748121586663274e-08,7077768,0.0,0,4.99954949641404e-22,120
HEM_PA29.nii.gz,all,2,foreground,visual_only,original+gamma_0.30+blur_1.5,0,344234,6536055,6402,191197,0.7769931554794312,251652.03125,344234,5455.994140625,6536055,2271.376220703125,6402,14534.9208984375,191197,951.2664794921875,344234,255.26087951660156,6536055,57.416900634765625,6402,538.9396362304688,191197,7836.6611328125,344234,2074.5048828125,6536055,412.2915954589844,6402,3783.192626953125,191197,11812.08984375,344234,3073.015625,6536055,625.0032958984375,6402,5646.115234375,191197
HEM_PA29.nii.gz,all,2,foreground,language_only,original+language,0,344234,6536055,6402,191197,0.7769931554794312,250356.625,344234,4332.97802734375,6536055,2258.077392578125,6402,12994.1259765625,191197,144.43783569335938,344234,20.644826889038086,6536055,7.342329978942871,6402,47.871822357177734,191197,2877.4013671875,344234,452.18731689453125,6536055,142.34835815429688,6402,953.178955078125,191197,5754.802734375,344234,904.3746337890625,6536055,284.69671630859375,6402,1906.35791015625,191197
HEM_PA29.nii.gz,all,2,foreground,visual_language,original+gamma_0.30+blur_1.5+language,0,344234,6536055,6402,191197,0.7769931554794312,251518.390625,344234,5183.80517578125,6536055,2299.2841796875,6402,14276.4443359375,191197,776.062744140625,344234,218.78282165527344,6536055,46.44738006591797,6402,427.8460998535156,191197,7396.34033203125,344234,1934.890869140625,6536055,384.387939453125,6402,3434.19384765625,191197,10163.11328125,344234,2540.879638671875,6536055,534.7098999023438,6402,4591.33984375,191197
HEM_PA29.nii.gz,all,3,foreground,visual_only,original+gamma_0.30+blur_1.5,0,192855,6743696,28374,112963,0.7318322658538818,144410.1875,192855,40148.94140625,6743696,22658.76171875,28374,21321.21484375,112963,634.741455078125,192855,1213.8197021484375,6743696,359.1617736816406,28374,616.5665893554688,112963,5032.5791015625,192855,7286.513671875,6743696,1536.3218994140625,28374,3675.515380859375,112963,7575.98681640625,192855,10943.90625,6743696,2305.9345703125,28374,5429.72705078125,112963
HEM_PA29.nii.gz,all,3,foreground,language_only,original+language,0,192855,6743696,28374,112963,0.7318322658538818,142996.015625,192855,38108.515625,6743696,22066.052734375,28374,19630.267578125,112963,89.37445068359375,192855,60.94484329223633,6743696,6.448700904846191,28374,55.27871322631836,112963,1877.306884765625,192855,1430.24560546875,6743696,188.12014770507812,28374,996.662109375,112963,3754.61376953125,192855,2860.4912109375,6743696,376.24029541015625,28374,1993.32421875,112963
HEM_PA29.nii.gz,all,3,foreground,visual_language,original+gamma_0.30+blur_1.5+language,0,192855,6743696,28374,112963,0.7318322658538818,143991.1875,192855,39580.8828125,6743696,22538.412109375,28374,20969.96875,112963,536.6773071289062,192855,1012.371826171875,6743696,290.4300537109375,28374,500.04937744140625,112963,4895.6015625,192855,6913.7216796875,6743696,1402.3465576171875,28374,3398.357421875,112963,6638.15234375,192855,9058.537109375,6743696,1831.317626953125,28374,4504.77685546875,112963
HEP_PA28.nii.gz,all,0,context,visual_only,original+gamma_0.30+blur_1.5,0,0,6916272,161616,0,0.0,0.0,0,6587.0302734375,6916272,125227.2578125,161616,0.0,0,0.0,0,587.5293579101562,6916272,610.937744140625,161616,0.0,0,0.0,0,2396.653564453125,6916272,3618.8369140625,161616,0.0,0,0.0,0,3514.081298828125,6916272,5551.771484375,161616,0.0,0
HEP_PA28.nii.gz,all,0,context,language_only,original+language,0,0,6916272,161616,0,0.0,0.0,0,5504.28515625,6916272,125070.953125,161616,0.0,0,0.0,0,29.444263458251953,6916272,26.658493041992188,161616,0.0,0,0.0,0,405.99945068359375,6916272,740.763671875,161616,0.0,0,0.0,0,811.9989013671875,6916272,1481.52734375,161616,0.0,0
HEP_PA28.nii.gz,all,0,context,visual_language,original+gamma_0.30+blur_1.5+language,0,0,6916272,161616,0,0.0,0.0,0,6411.38427734375,6916272,125298.921875,161616,0.0,0,0.0,0,467.67901611328125,6916272,490.10186767578125,161616,0.0,0,0.0,0,2152.552490234375,6916272,3346.083984375,161616,0.0,0,0.0,0,2775.70849609375,6916272,4552.34765625,161616,0.0,0
