level,case,uncertainty_variant,score_metric,scope,num_voxels,positive_voxels,error_prevalence,pr_random_baseline,roc_auc,pr_auc,excluded_both_empty
case,HEM_PA107.nii.gz,language_only,variance,all_voxels,28311552,205561,0.007260675783510561,0.007260675783510561,0.9575171776884855,0.17350733827331236,False
case,HEM_PA107.nii.gz,language_only,variance,foreground_union,589847,205561,0.3484988480063474,0.3484988480063474,0.3647619696971244,0.27697595934794084,True
case,HEM_PA107.nii.gz,language_only,variance,predicted_positive,402384,18098,0.044976937452781425,0.044976937452781425,0.5522677480149707,0.04843743509747696,True
case,HEM_PA107.nii.gz,language_only,variance,predicted_negative,20831280,187463,0.008999110952375466,0.008999110952375466,0.9539456436845204,0.3906195560739743,True
case,HEM_PA107.nii.gz,language_only,std,all_voxels,28311552,205561,0.007260675783510561,0.007260675783510561,0.9575171776884855,0.17350733827331236,False
case,HEM_PA107.nii.gz,language_only,std,foreground_union,589847,205561,0.3484988480063474,0.3484988480063474,0.3647619696971244,0.27697595934794084,True
case,HEM_PA107.nii.gz,language_only,std,predicted_positive,402384,18098,0.044976937452781425,0.044976937452781425,0.5522677480149707,0.04843743509747696,True
case,HEM_PA107.nii.gz,language_only,std,predicted_negative,20831280,187463,0.008999110952375466,0.008999110952375466,0.9539456436845204,0.3906195560739743,True
case,HEM_PA107.nii.gz,language_only,pairwise_abs,all_voxels,28311552,205561,0.007260675783510561,0.007260675783510561,0.9573526532294144,0.17350603214741536,False
case,HEM_PA107.nii.gz,language_only,pairwise_abs,foreground_union,589847,205561,0.3484988480063474,0.3484988480063474,0.36476196969712443,0.2769759574685094,True
case,HEM_PA107.nii.gz,language_only,pairwise_abs,predicted_positive,402384,18098,0.044976937452781425,0.044976937452781425,0.5522677480149707,0.04843743509747696,True
case,HEM_PA107.nii.gz,language_only,pairwise_abs,predicted_negative,20831280,187463,0.008999110952375466,0.008999110952375466,0.9539436366187303,0.39061953562589613,True
case,HEM_PA107.nii.gz,visual_language,mean_probability,all_voxels,28311552,205561,0.007260675783510561,0.007260675783510561,0.9595743914214022,0.12834678764566082,False
